date,merchant,amount,category,source,subject
2026-03-26,642509671695,477.49,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 477.49 was debited from your A/c no. XX2267.
2026-03-26,606045125901,3000.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 3000.00 was debited from your A/c no. XX2267.
2026-03-26,606056340490,144.05,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 144.05 was debited from your A/c no. XX2267.
2026-03-26,733240736500,40.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 40.00 was debited from your A/c no. XX2267.
2026-03-02,your,4490.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,Debit transaction alert for Axis Bank A/c
2026-03-26,968912636005,20.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 20.00 was debited from your A/c no. XX2267.
2026-03-26,769429617887,40.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 40.00 was debited from your A/c no. XX2267.
2026-03-26,107830560934,234.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 234.00 was debited from your A/c no. XX2267.
2026-03-26,045747205316,30.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 30.00 was debited from your A/c no. XX2267.
2026-03-26,541983864976,54.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 54.00 was debited from your A/c no. XX2267.
2026-03-26,046097798510,139.0,Other,=?UTF-8?B?QXhpcyBCYW5rIEFsZXJ0cw==?= <alerts@axis.bank.in>,INR 139.00 was debited from your A/c no. XX2267.
